DbType;CSharpType;AsmeraldType
bigint;Int64;LongColumn
binary;Byte[];ByteArrColumn
bit;Boolean;BooleanColumn
char;String;StringColumn
date;DateTime;DateTimeColumn
datetime;DateTime;DateTimeColumn
datetime2;DateTime;DateTimeColumn
datetimeoffset;DateTimeOffset;DateTimeOffsetColumn
decimal;Decimal;DecimalColumn
varbinary;Byte[];ByteArrColumn
float;Double;DecimalColumn
image;Byte[];ByteArrColumn
int;Int32;IntegerColumn
money;Decimal;DecimalColumn
nchar;String;StringColumn
ntext;String;StringColumn
numeric;Decimal;DecimalColumn
nvarchar;String;StringColumn
real;Single;DecimalColumn
rowversion;Byte[];ByteArrColumn
smalldatetime;DateTime;DateTimeColumn
smallint;Int16;IntegerColumn
smallmoney;Decimal;DecimalColumn
sql_variant;Object 2;ByteArrColumn
text;String;StringColumn
time;TimeSpan;TimeSpanColumn
timestamp;Byte[];ByteArrColumn
tinyint;Byte;ByteColumn
uniqueidentifier;Guid;GuidColumn
varbinary;Byte[];ByteArrColumn
varchar;String;StringColumn
xml;Xml;StringColumn
