DbType;CSharpType;AsmeraldType
PostgreSQL type;Default .NET type
boolean;bool
smallint;short
integer;int
bigint;long
real;float
double precision;double
numeric;decimal
money;decimal
text;string
character varying;string
character;string
citext;string
json;string
jsonb;string
xml;string
uuid;Guid
bytea;byte[]
timestamp without time zone;DateTime (Unspecified)
timestamp with time zone;DateTime (Utc1)
date;DateTime
time without time zone;TimeSpan
time with time zone;DateTimeOffset
interval;TimeSpan3
cidr;(IPAddress, int)
inet;IPAddress
macaddr;PhysicalAddress
tsquery;NpgsqlTsQuery
tsvector;NpgsqlTsVector
bit(1);bool
bit(n);BitArray
bit varying;BitArray
point;NpgsqlPoint
lseg;NpgsqlLSeg
path;NpgsqlPath
polygon;NpgsqlPolygon
line;NpgsqlLine
circle;NpgsqlCircle
box;NpgsqlBox
hstore;Dictionary<string, string>
oid;uint
xid;uint
cid;uint
oidvector;uint[]
name;string
(internal) char;char
geometry (PostGIS);PostgisGeometry
record;object[]
composite types;T
range types;NpgsqlRange<TElement>
multirange types (PG14);NpgsqlRange<TElement>[]
enum types;TEnum
array types;Array (of element type)
